PlayerID,Player,Team,Position,Cost,Selection,Form,Points,Goals,Assists,Minutes,ICT Index,Bonus,Clean Sheets,Dream Team,Goals Conceded,PPG,Saves,Yellow
GunnSOUGKP,Gunn,SOU,GKP,4.5,0.008,1.5,3,0,0,180,4,0,0,0,5,1.5,5,0
HøjbjergSOUMID,Højbjerg,SOU,MID,5,0.007,1.5,3,0,0,107,4.2,0,0,0,3,1.5,0,0
Oriol RomeuSOUMID,Oriol Romeu,SOU,MID,4.5,0.013,1.5,3,0,0,153,6.3,0,0,0,4,1.5,0,1
AlderweireldTOTDEF,Alderweireld,TOT,DEF,5.5,0.071,1.5,3,0,0,180,8.3,0,0,0,3,1.5,0,0
RoseTOTDEF,Rose,TOT,DEF,5.5,0.025,1.5,3,0,0,180,8.9,0,0,0,3,1.5,0,0
SánchezTOTDEF,Sánchez,TOT,DEF,5.5,0.012,1.5,3,0,0,180,8.1,0,0,0,3,1.5,0,0
Walker-PetersTOTDEF,Walker-Peters,TOT,DEF,5,0.036,1.5,3,0,0,180,7.9,0,0,0,3,1.5,0,0
EriksenTOTMID,Eriksen,TOT,MID,8.9,0.054,1.5,3,0,0,116,9.3,0,0,0,2,1.5,0,0
WinksTOTMID,Winks,TOT,MID,5.5,0.004,1.5,3,0,0,118,5.1,0,0,0,3,1.5,0,0
FosterWATGKP,Foster,WAT,GKP,5,0.025,1.5,3,0,0,180,2.1,0,0,0,4,1.5,2,0
Kiko FemeníaWATDEF,Kiko Femenía,WAT,DEF,4.5,0.007,1.5,3,0,0,180,8.8,0,0,0,4,1.5,0,0
CathcartWATDEF,Cathcart,WAT,DEF,4.5,0.036,1.5,3,0,0,180,3.3,0,0,0,4,1.5,0,0
DawsonWATDEF,Dawson,WAT,DEF,5,0.003,1.5,3,0,0,180,8.9,0,0,0,4,1.5,0,0
CapoueWATMID,Capoue,WAT,MID,5,0.009,1.5,3,0,0,172,3,0,0,0,4,1.5,0,1
DeulofeuWATFWD,Deulofeu,WAT,FWD,6.4,0.044,1.5,3,0,0,123,5.6,0,0,0,2,1.5,0,0
GrayWATFWD,Gray,WAT,FWD,5.9,0.007,1.5,3,0,0,81,3.4,0,0,0,2,1.5,0,0
SnodgrassWHUMID,Snodgrass,WHU,MID,5.5,0.003,1.5,3,0,0,124,5.9,0,0,0,4,1.5,0,0
RiceWHUMID,Rice,WHU,MID,5,0.026,1.5,3,0,0,180,3.9,0,0,0,6,1.5,0,1
FornalsWHUMID,Fornals,WHU,MID,6.5,0.008,1.5,3,0,0,121,1.8,0,0,0,5,1.5,0,0
MkhitaryanARSMID,Mkhitaryan,ARS,MID,7,0.021,1,2,0,0,83,4.2,0,1,0,0,2,0,1
XhakaARSMID,Xhaka,ARS,MID,5.5,0.012,1,2,0,0,90,4.5,0,1,0,0,2,0,1
PépéARSMID,Pépé,ARS,MID,9.4,0.04,1,2,0,0,64,5.4,0,0,0,0,1,0,0
TaylorAVLDEF,Taylor,AVL,DEF,4.5,0.002,1,2,0,0,180,7.9,0,0,0,5,1,0,0
EngelsAVLDEF,Engels,AVL,DEF,4.5,0.001,1,2,0,0,180,5.2,0,0,0,5,1,0,0
HourihaneAVLMID,Hourihane,AVL,MID,6,0.002,1,2,0,0,81,2.7,0,0,0,1,2,0,0
JotaAVLMID,Jota,AVL,MID,5.9,0.002,1,2,0,0,46,2.9,0,0,0,3,1,0,0
DanielsBOUDEF,Daniels,BOU,DEF,4.5,0.003,1,2,0,0,90,5.2,0,0,0,1,2,0,0
